"","x"
"1",1
"2",1
"3",20
"4",0
"5",10
"6",2
"7",21
"8",2
"9",4
"10",7
"11",1
"12",2
"13",9
"14",8
"15",11
"16",3
"17",12
"18",20
"19",13
"20",13
"21",10
"22",28
"23",53
"24",0
"25",2
"26",14
"27",5
"28",2
"29",12
"30",1
"31",0
"32",2
"33",4
"34",1
"35",0
"36",23
"37",23
"38",6
"39",1
"40",2
"41",6
"42",4
"43",6
"44",14
"45",5
"46",2
"47",2
"48",2
"49",0
"50",2
"51",9
"52",9
"53",5
"54",12
"55",5
"56",0
"57",6
"58",2
"59",9
"60",2
"61",5
"62",3
"63",0
"64",1
"65",3
"66",3
"67",2
"68",12
"69",19
"70",7
"71",11
"72",6
"73",8
"74",10
"75",19
"76",0
"77",2
"78",4
"79",7
"80",6
"81",10
"82",3
"83",0
"84",0
"85",0
"86",4
"87",2
